"","ASV3","ASV4","ASV7","ASV8","ASV9","ASV12","ASV14","ASV15","ASV16","ASV24","ASV26","ASV33","ASV36","ASV39","ASV43","ASV45","ASV46","ASV47","ASV52","ASV55","ASV58","ASV62","ASV63","ASV67","ASV69","ASV70","ASV74","ASV78","ASV79","ASV82","ASV83","ASV87","ASV88","ASV89","ASV92","ASV94","ASV96","ASV100","ASV106","ASV110","ASV111","ASV118","ASV123","ASV124","ASV125","ASV129","ASV133","ASV137","ASV138","ASV139","ASV140","ASV144","ASV146","ASV152","ASV153","ASV154","ASV158","ASV160","ASV164","ASV167","ASV172","ASV178","ASV179","ASV181","ASV188","ASV189","ASV195","ASV200","ASV202","ASV207","ASV210","ASV212","ASV221","ASV227","ASV229","ASV231","ASV232","ASV234","ASV239","ASV247","ASV251","ASV253","ASV254","ASV256","ASV257","ASV258","ASV262","ASV266","ASV271","ASV279","ASV280","ASV283","ASV284","ASV291","ASV296","ASV305","ASV308","ASV312","ASV313","ASV314","ASV323","ASV324","ASV328","ASV338","ASV347","ASV353","ASV355","ASV368","ASV369","ASV373","ASV392","ASV393","ASV394","ASV396","ASV398","ASV400","ASV403","ASV406","ASV410","ASV411","ASV413","ASV417","ASV418","ASV419","ASV420","ASV422","ASV428","ASV429","ASV438","ASV448","ASV453","ASV457","ASV462","ASV466","ASV468","ASV472","ASV475","ASV480","ASV481","ASV485","ASV487","ASV491","ASV503","ASV504","ASV505","ASV506","ASV514","ASV515","ASV516","ASV527","ASV528","ASV530","ASV531","ASV533","ASV534","ASV539","ASV564","ASV567","ASV571","ASV578","ASV583","ASV584","ASV585","ASV587","ASV590","ASV605","ASV610","ASV613","ASV615","ASV619","ASV621","ASV637","ASV645","ASV647","ASV662","ASV664","ASV665","ASV675","ASV676","ASV683","ASV688","ASV705","ASV718","ASV729","ASV730","ASV731","ASV737","ASV739","ASV743","ASV745","ASV748","ASV752","ASV753","ASV756","ASV757","ASV769","ASV783","ASV804","ASV811","ASV812","ASV816","ASV826","ASV831","ASV833","ASV838","ASV840","ASV845","ASV849","ASV853","ASV855","ASV863","ASV866","ASV868","ASV871","ASV898","ASV904","ASV915","ASV921","ASV926","ASV928","ASV930","ASV933","ASV936","ASV939","ASV941","ASV942","ASV950","ASV953","ASV961","ASV967","ASV968","ASV980","ASV986","ASV987","ASV1020","ASV1021","ASV1039","ASV1046","ASV1050","ASV1051","ASV1056","ASV1059","ASV1065","ASV1075","ASV1090","ASV1092","ASV1094","ASV1098","ASV1120","ASV1121","ASV1125","ASV1144","ASV1150","ASV1156","ASV1184","ASV1186","ASV1187","ASV1195","ASV1212","ASV1215","ASV1219","ASV1237","ASV1243","ASV1249","ASV1252","ASV1253","ASV1257","ASV1265","ASV1266","ASV1268","ASV1295","ASV1299","ASV1319","ASV1332","ASV1338","ASV1340","ASV1342","ASV1369","ASV1375","ASV1391","ASV1396","ASV1398","ASV1404","ASV1405","ASV1407","ASV1414","ASV1420","ASV1429","ASV1454","ASV1473","ASV1480","ASV1483","ASV1485","ASV1491","ASV1495","ASV1496","ASV1536","ASV1540","ASV1542","ASV1546","ASV1552","ASV1563","ASV1572","ASV1574","ASV1575","ASV1578","ASV1586","ASV1590","ASV1599","ASV1607","ASV1621","ASV1658","ASV1663","ASV1668","ASV1680","ASV1682","ASV1720","ASV1729","ASV1740","ASV1755","ASV1768","ASV1769","ASV1774","ASV1782","ASV1800","ASV1806","ASV1808","ASV1813","ASV1818","ASV1830","ASV1837","ASV1845","ASV1849","ASV1856","ASV1858","ASV1862","ASV1869","ASV1883","ASV1889","ASV1893","ASV1902","ASV1905","ASV1908","ASV1911","ASV1921","ASV1934","ASV1938","ASV1940","ASV1950","ASV1957","ASV1960","ASV1961","ASV1975","ASV1977","ASV1984","ASV2017","ASV2035","ASV2080","ASV2097","ASV2135","ASV2138","ASV2156","ASV2161","ASV2165","ASV2172","ASV2175","ASV2184","ASV2211","ASV2222","ASV2223","ASV2238","ASV2243","ASV2245","ASV2266","ASV2275","ASV2283","ASV2299","ASV2311","ASV2326","ASV2328","ASV2330","ASV2371","ASV2378","ASV2388","ASV2393","ASV2394","ASV2430","ASV2440","ASV2442","ASV2451","ASV2453","ASV2459","ASV2480","ASV2488","ASV2495","ASV2501","ASV2538","ASV2550","ASV2557","ASV2574","ASV2579","ASV2582","ASV2584","ASV2591","ASV2600","ASV2601","ASV2638","ASV2646","ASV2651","ASV2667","ASV2689","ASV2703","ASV2730","ASV2734","ASV2736","ASV2737","ASV2741","ASV2744","ASV2746","ASV2764","ASV2776","ASV2783","ASV2784","ASV2801","ASV2804","ASV2815","ASV2819","ASV2829","ASV2848","ASV2870","ASV2877","ASV2882","ASV2899","ASV2917","ASV2944","ASV2945","ASV2959","ASV2960","ASV2961","ASV2979","ASV2997","ASV3010","ASV3055","ASV3071","ASV3074","ASV3087","ASV3099","ASV3109","ASV3111","ASV3113","ASV3114","ASV3116","ASV3117","ASV3125","ASV3128","ASV3134","ASV3135","ASV3139","ASV3143","ASV3148","ASV3158","ASV3161","ASV3165","ASV3206","ASV3209","ASV3211","ASV3227","ASV3236","ASV3244","ASV3247","ASV3256","ASV3259","ASV3268","ASV3269","ASV3271","ASV3279","ASV3280","ASV3282","ASV3283","ASV3292","ASV3297","ASV3299","ASV3330","ASV3331","ASV3332","ASV3333","ASV3359","ASV3366","ASV3370","ASV3379","ASV3380","ASV3383","ASV3386","ASV3391","ASV3394","ASV3429","ASV3434","ASV3447","ASV3456","ASV3457","ASV3465","ASV3478","ASV3486","ASV3490","ASV3493","ASV3497","ASV3510","ASV3513","ASV3531","ASV3533","ASV3534","ASV3538","ASV3543","ASV3546","ASV3555","ASV3562","ASV3571","ASV3586","ASV3597","ASV3627","ASV3638","ASV3641","ASV3647","ASV3663","ASV3666","ASV3693","ASV3696","ASV3702"
"pb1_pruth_pocket_asu_f_p3_h4",56,38,73,569,76,1219,292,44,851,0,93,332,20,178,0,155,0,19,0,0,882,67,830,0,38,0,0,0,303,195,79,37,0,104,58,219,97,0,0,0,0,0,0,0,730,0,0,0,0,34,183,290,0,0,0,0,84,77,0,0,22,0,0,0,86,0,16,66,0,56,0,47,30,0,0,0,0,0,0,0,0,0,83,0,85,0,29,0,0,0,0,0,0,0,0,0,231,0,79,223,0,276,0,0,0,0,0,0,57,0,0,150,0,21,0,15,0,0,0,0,0,0,0,0,0,0,0,68,0,94,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,54,69,0,13,0,59,0,0,0,0,0,0,3,6,0,0,0,9,0,0,0,0,0,0,12,23,3,0,89,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,26,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pb1_pruth_pocket_control_i_p1_c6",0,410,406,321,0,604,785,0,0,0,667,58,12,0,218,221,178,0,0,0,937,44,105,0,0,0,0,0,0,0,0,0,147,0,0,18,78,0,0,0,0,0,0,50,62,0,0,0,344,0,0,0,0,0,62,0,165,129,259,43,25,0,0,0,93,0,0,0,0,0,136,0,0,0,0,94,0,263,43,24,0,0,0,22,46,0,0,0,0,0,0,0,15,0,0,29,0,0,31,69,0,0,0,0,0,0,0,0,0,0,137,117,0,0,0,0,8,0,28,0,0,0,0,0,0,19,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,13,18,0,32,0,63,0,29,0,0,0,0,0,0,20,0,0,0,0,15,0,28,0,0,0,21,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,82,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pb1_pruth_pocket_sterile_f_p1_d9",108,644,3144,3656,101,1875,1610,2687,3904,0,356,98,12,1040,223,244,226,0,20,0,617,281,822,36,0,0,20,0,0,698,80,78,15,292,634,385,206,0,0,0,0,0,12,44,150,0,0,0,0,18,285,494,658,0,0,0,15,596,55,0,55,0,0,0,98,36,35,336,0,34,69,1122,164,0,0,503,0,0,0,8,0,71,0,17,0,0,28,0,0,0,0,0,551,0,0,0,77,0,960,93,0,177,0,6,0,0,0,0,0,130,0,29,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,18,0,0,0,0,171,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,28,7,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pb10_pruth_bay_asu_f_p3_c6",0,0,41,426,0,11,257,0,0,0,0,44,0,0,0,50,60,6,0,0,19,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,8,0,0,0,0,0,0,0,7,0,46,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,13,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,18,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pb10_pruth_bay_control_f_p3_c1",0,1331,1456,3864,66,463,1151,267,33,0,91,0,0,0,1185,53,70,0,0,0,116,377,30,6,0,0,0,0,0,121,0,0,0,0,0,7,7,0,0,0,0,0,21,0,0,0,0,0,90,0,0,0,0,0,0,0,116,27,95,0,55,0,0,0,0,0,0,0,0,48,0,0,0,0,0,82,0,104,0,8,0,0,0,10,0,0,0,0,0,0,0,0,34,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pb10_pruth_bay_control_i_p2_c3",0,230,245,255,0,50,493,0,0,0,278,33,0,0,129,481,147,0,21,0,623,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,43,0,0,0,0,0,0,49,0,0,0,0,232,0,0,0,0,0,62,0,68,0,324,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,26,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"pb10_pruth_bay_sterile_f_p1_e6",0,1907,1859,1772,3073,2223,1949,72,216,0,49,15,0,121,458,18,24,0,0,12,176,4033,64,75,0,0,0,0,0,353,0,0,0,0,0,13,0,0,0,0,0,10,163,6,145,0,0,0,0,0,0,0,0,0,0,0,78,6,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,140,0,0,0,14,0,7,13,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,45,6,0,46,0,0,6,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,925,0,18,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,186,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pb11_wolf_asu_f_p2_c8",135,0,0,111,0,355,133,33,0,0,191,42,43,40,0,57,0,0,0,0,23,5,4,0,0,0,0,0,0,0,62,87,136,41,0,0,43,0,0,0,0,28,0,0,0,12,0,0,818,0,0,0,0,0,49,0,0,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,94,0,0,70,0,0,0,0,30,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pb11_wolf_control_f_p1_g7",124,234,453,553,179,10926,203,701,44,0,276,70,487,129,51,77,0,0,0,0,57,530,15,145,0,1504,0,0,0,0,54,67,169,126,0,58,53,0,0,30,0,84,127,0,0,562,0,0,217,54,0,0,0,609,49,0,0,49,0,118,0,0,98,48,0,0,77,0,10,0,0,0,321,0,13,0,0,0,26,26,0,0,0,0,0,0,115,9,0,0,0,0,0,0,0,20,58,0,0,0,0,0,37,0,0,21,0,0,68,0,0,0,0,0,36,150,0,0,45,0,0,0,0,0,11,0,0,0,0,0,0,117,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,19,0,43,0,33,22,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pb11_wolf_control_i_p2_h5",0,91,0,141,0,70,65,0,0,0,78,0,0,0,166,69,10,0,24,0,184,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,16,34,0,0,0,0,0,0,39,0,0,0,0,0,41,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
