origin_site,destination,plot_id,sample_id,treatment,sheath_length,total_length,second_youngest_blade_growth,plot_id
pruth_bay,pruth_pocket,pb1,23,sterile,19,87.9,4.3,pb1
pruth_bay,pruth_pocket,pb1,4,control,18.2,86.5,8.4,pb1
pruth_bay,pruth_pocket,pb6,21,control,13.7,67.9,9.4,pb6
pruth_bay,pruth_pocket,pb6,12,sterile,17.2,80.4,1.1,pb6
pruth_bay,pruth_pocket,pb5,3,control,12.7,35.4,4.6,pb5
pruth_bay,pruth_pocket,pb5,43,sterile,12.4,66.3,3.8,pb5
pruth_bay,wolf,pb4,41,control,13.1,57.9,0.4,pb4
pruth_bay,wolf,pb4,47,sterile,20.9,89.4,2.6,pb4
pruth_bay,pruth_bay,pb10,13,control,10.6,55.9,1.7,pb10
pruth_bay,pruth_bay,pb10,27,sterile,19.2,86.2,2.6,pb10
pruth_bay,pruth_bay,pb14,16,sterile,20,96,2.4,pb14
pruth_bay,pruth_bay,pb14,22,control,15.8,83.4,6.9,pb14
pruth_bay,sand_spit,pb9,1,control,13,60,4.7,pb9
pruth_bay,sand_spit,pb9,24,sterile,17.9,75.2,1.7,pb9
pruth_bay,wolf,pb11,25,control,17.6,87.8,3.2,pb11
pruth_bay,wolf,pb11,42,sterile,16.2,64.2,3.9,pb11
pruth_bay,sand_spit,pb13,31,sterile,15.4,68.8,1.5,pb13
pruth_bay,sand_spit,pb13,11,control,13.1,64.6,5.3,pb13
pruth_bay,wolf,pb15,18,control,19,78.5,3.7,pb15
pruth_bay,wolf,pb15,2,sterile,19.6,65,3.1,pb15
pruth_bay,sand_spit,pb2,33,sterile,15,65.3,1.8,pb2
pruth_bay,sand_spit,pb2,19,control,12.8,79,6.9,pb2
pruth_bay,pruth_bay,pb8,26,control,11.2,61.6,8.4,pb8
pruth_bay,pruth_bay,pb8,14,sterile,12.7,70.1,4.1,pb8
pruth_pocket,pruth_pocket,pp2,17,control,12.4,58.1,4.9,pp2
pruth_pocket,pruth_pocket,pp2,40,sterile,11.7,51.3,3.9,pp2
pruth_pocket,pruth_bay,pp7,36,sterile,16.7,77.5,5,pp7
pruth_pocket,pruth_bay,pp7,15,control,9.9,43.5,4.6,pp7
pruth_pocket,sand_spit,pp5,32,sterile,40.4,53.4,1.8,pp5
pruth_pocket,sand_spit,pp5,30,control,11.3,57.5,5.6,pp5
pruth_pocket,pruth_bay,pp8,49,sterile,11.8,50.5,4.7,pp8
pruth_pocket,pruth_bay,pp8,6,control,9.1,33.8,6.1,pp8
pruth_pocket,wolf,pp1,37,control,9,46.4,5.9,pp1
pruth_pocket,wolf,pp1,7,sterile,10.9,43,1.9,pp1
pruth_pocket,pruth_pocket,pp3,38,sterile,14.1,43.4,2.8,pp3
pruth_pocket,pruth_pocket,pp3,34,control,13.4,64.1,6.2,pp3
pruth_pocket,sand_spit,pp14,39,sterile,11.7,55,1.6,pp14
pruth_pocket,sand_spit,pp14,10,control,8.2,44.2,3.2,pp14
pruth_pocket,pruth_bay,pp11,46,control,10.3,43.8,7.5,pp11
pruth_pocket,pruth_bay,pp11,8,sterile,10.7,53.8,3.3,pp11
pruth_pocket,wolf,pp15,9,sterile,10.6,47.5,2.7,pp15
pruth_pocket,wolf,pp15,29,control,12.9,67.2,6.8,pp15
pruth_pocket,wolf,pp10,35,control,12.4,62.8,3,pp10
pruth_pocket,wolf,pp10,45,sterile,8.3,36.2,2,pp10
pruth_pocket,sand_spit,pp6,20,control,13.3,65.3,3.4,pp6
pruth_pocket,sand_spit,pp6,5,sterile,14.7,65.2,1.6,pp6
pruth_pocket,pruth_pocket,pp4,44,control,10,44.7,5.5,pp4
pruth_pocket,pruth_pocket,pp4,28,sterile,12,67.6,2.5,pp4
wolf,wolf,wo1,67,sterile,33.4,141.9,8,wo1
wolf,wolf,wo1,74,control,39,190.9,8.8,wo1
wolf,sand_spit,wo10,60,sterile,34.2,142.9,6.3,wo10
wolf,sand_spit,wo10,73,control,30.5,125,1.8,wo10
wolf,sand_spit,wo4,75,sterile,35.6,187.6,11.3,wo4
wolf,sand_spit,wo4,54,control,30.1,136.6,12.2,wo4
wolf,wolf,wo8,68,control,42.3,168.4,9,wo8
wolf,wolf,wo8,50,sterile,33.3,97.6,4,wo8
wolf,pruth_pocket,wo13,94,control,29.4,125.4,1.6,wo13
wolf,pruth_pocket,wo13,72,sterile,36,185.2,9.5,wo13
wolf,pruth_pocket,wo9,93,control,27.6,108.6,14.1,wo9
wolf,pruth_pocket,wo9,99,sterile,30.1,113.4,6.4,wo9
wolf,pruth_pocket,wo15,89,sterile,23.2,119.4,3.4,wo15
wolf,sand_spit,wo3,69,control,34.8,69.6,1.2,wo3
wolf,sand_spit,wo3,63,sterile,34,127.2,6.5,wo3
wolf,wolf,wo5,70,sterile,36.9,185.2,12.8,wo5
wolf,wolf,wo5,79,control,32.9,129,5,wo5
wolf,pruth_bay,wo14,92,sterile,24.9,94.2,0.4,wo14
wolf,pruth_bay,wo14,91,control,35.8,752.1,13.5,wo14
wolf,pruth_bay,wo2,76,control,31.8,134.6,5.2,wo2
wolf,pruth_bay,wo2,97,sterile,44.8,202.6,10.2,wo2
wolf,pruth_bay,wo11,98,sterile,25.4,108.4,1.6,wo11
wolf,pruth_bay,wo11,96,control,36.4,186,8.3,wo11
sand_spit,wolf,ss12,61,control,25.1,110,8.2,ss12
sand_spit,wolf,ss12,56,sterile,24.8,123.9,3.9,ss12
sand_spit,pruth_pocket,ss9,66,sterile,45.4,238.6,9.5,ss9
sand_spit,pruth_pocket,ss9,85,control,40.6,221.6,19.9,ss9
sand_spit,pruth_pocket,ss10,71,sterile,37.3,186.3,11.5,ss10
sand_spit,pruth_pocket,ss10,88,control,40,199.6,20.3,ss10
sand_spit,wolf,ss3,57,control,33,149.7,14.1,ss3
