Taxa,colour
Saprospiraceae; uncultured,blue
Methylophilaceae; Methylotenera,green4
Rhodobacteraceae; Sulfitobacter,red
Thiohalorhabdaceae; Granulosicoccus,brown1
Methylophilaceae; Methylophilus,green
Flavobacteriaceae; Winogradskyella,darkturquoise
Rhodobacteraceae; Pseudooctadecabacter,red4
Rhodobacteraceae; Loktanella,orangered3
Flavobacteriaceae; Polaribacter,cadetblue1
Pirellulaceae; Blastopirellula,mintcream
Flavobacteriaceae; Maribacter,darkseagreen4
Thiotrichaceae; Cocleimonas,magenta
Microtrichaceae; uncultured,bisque
Rickettsiaceae; Rickettsia,yellow
Saprospiraceae; Lewinella,blue4
Rhodobacteraceae; Pacificibacter,tomato4
Thiotrichaceae; Leucothrix,deeppink
Verrucomicrobiales; DEV007; uncultured,blueviolet
Sphingobacteriales; KD3-93; uncultured,burlywood1
Methylophagaceae; uncultured,darkgreen
Alteromonadaceae; Alteromonas,slateblue
Colwelliaceae; Colwellia,hotpink
Ectothiorhodospiraceae; uncultured,lightgreen
Pseudomonadaceae; Pseudomonas,midnightblue
Marinobacteraceae; Marinobacter,lightsteelblue
Kordiimonadaceae; Kordiimonas,lightsalmon
Halomonadaceae; Halomonas,plum1
Marinomonadaceae; Marinomonas,seashell2
Pseudoalteromonadaceae; Pseudoalteromonas,orchid3
Thalassospiraceae; Thalassospira,sienna4
Rhodobacteraceae; Amylibacter,brown4
Oleiphilaceae; Oleiphilus,wheat4
Rhizobiaceae; Lentilitoribacter,thistle
Flavobacteriaceae; uncultured,skyblue1
Hyphomonadaceae; Litorimonas,peru
Flavobacteriaceae; Dokdonia,royalblue
Cryomorphaceae; uncultured,goldenrod1
Arcobacteraceae; Arcobacter,snow
Cyclobacteriaceae; Roseivirga,palegreen4
Rubritaleaceae; Persicirhabdus,darkmagenta
Cyanobiaceae; Synechococcus_CC9902,darkkhaki
Halieaceae; OM60(NOR5)_clade,darkorange
Moraxellaceae; Psychrobacter,darksalmon
Flavobacteriaceae; Ulvibacter,deepskyblue1
Flavobacteriaceae; Tenacibaculum,dodgerblue
Flavobacteriaceae; NS5_marine_group,dodgerblue4
Flavobacteriaceae; Flavicella,darkslategray1
Flavobacteriaceae; Lutimonas,darkslategray4
Rhodobacteraceae; Tropicibacter,darkred
Microbacteriaceae; Candidatus_Aquiluna,lavenderblush
Rhodobacteraceae; Octadecabacter,lightcoral
Flavobacteriaceae; Formosa,lightblue
Rubritaleaceae; Roseibacillus,darkorchid1
Rhodobacteraceae; Tateyamaria,indianred1
Ilumatobacteraceae; Ilumatobacter,greenyellow
Hyphomicrobiaceae; Hyphomicrobium,chartreuse4
Others,gray21
